year,geo,dguid,geo_level,is_national,gender,age,population
2020,Alberta,2021A000248,province,False,Men+,16_plus,1770858
2020,Alberta,2021A000248,province,False,Total - gender,16_plus,3530230
2020,Alberta,2021A000248,province,False,Women+,16_plus,1759372
2020,British Columbia,2021A000259,province,False,Men+,16_plus,2163936
2020,British Columbia,2021A000259,province,False,Total - gender,16_plus,4393667
2020,British Columbia,2021A000259,province,False,Women+,16_plus,2229731
2020,Canada,2021A000011124,national,True,Men+,16_plus,15592594
2020,Canada,2021A000011124,national,True,Total - gender,16_plus,31529187
2020,Canada,2021A000011124,national,True,Women+,16_plus,15936593
2020,Manitoba,2021A000246,province,False,Men+,16_plus,552380
2020,Manitoba,2021A000246,province,False,Total - gender,16_plus,1104167
2020,Manitoba,2021A000246,province,False,Women+,16_plus,551787
2020,New Brunswick,2021A000213,province,False,Men+,16_plus,325568
2020,New Brunswick,2021A000213,province,False,Total - gender,16_plus,663725
2020,New Brunswick,2021A000213,province,False,Women+,16_plus,338157
2020,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,222035
2020,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,451862
2020,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,229827
2020,Northwest Territories,2021A000261,province,False,Men+,16_plus,17953
2020,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,34954
2020,Northwest Territories,2021A000261,province,False,Women+,16_plus,17001
2020,Nova Scotia,2021A000212,province,False,Men+,16_plus,411171
2020,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,841265
2020,Nova Scotia,2021A000212,province,False,Women+,16_plus,430094
2020,Nunavut,2021A000262,province,False,Men+,16_plus,13405
2020,Nunavut,2021A000262,province,False,Total - gender,16_plus,26252
2020,Nunavut,2021A000262,province,False,Women+,16_plus,12847
2020,Ontario,2021A000235,province,False,Men+,16_plus,6041306
2020,Ontario,2021A000235,province,False,Total - gender,16_plus,12289622
2020,Ontario,2021A000235,province,False,Women+,16_plus,6248316
2020,Prince Edward Island,2021A000211,province,False,Men+,16_plus,64361
2020,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,133144
2020,Prince Edward Island,2021A000211,province,False,Women+,16_plus,68783
2020,Quebec,2021A000224,province,False,Men+,16_plus,3528339
2020,Quebec,2021A000224,province,False,Total - gender,16_plus,7099930
2020,Quebec,2021A000224,province,False,Women+,16_plus,3571591
2020,Saskatchewan,2021A000247,province,False,Men+,16_plus,464034
2020,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,925803
2020,Saskatchewan,2021A000247,province,False,Women+,16_plus,461769
2020,Yukon,2021A000260,province,False,Men+,16_plus,17248
2020,Yukon,2021A000260,province,False,Total - gender,16_plus,34566
2020,Yukon,2021A000260,province,False,Women+,16_plus,17318
2021,Alberta,2021A000248,province,False,Men+,16_plus,1782852
2021,Alberta,2021A000248,province,False,Total - gender,16_plus,3554833
2021,Alberta,2021A000248,province,False,Women+,16_plus,1771981
2021,British Columbia,2021A000259,province,False,Men+,16_plus,2187866
2021,British Columbia,2021A000259,province,False,Total - gender,16_plus,4441202
2021,British Columbia,2021A000259,province,False,Women+,16_plus,2253336
2021,Canada,2021A000011124,national,True,Men+,16_plus,15705887
2021,Canada,2021A000011124,national,True,Total - gender,16_plus,31742484
2021,Canada,2021A000011124,national,True,Women+,16_plus,16036597
