geo,prov_code,year,scenario,population_16plus,pct_16_64,ev_annual,ev_per_1k,ev_pred_2025,ev_per_1k_pred_2025,ev_count_display,ev_per_1k_display,chargers_ports,dcfast_ports,ports_per_100k,dcfast_per_100k,fast_share,yoy_ev_per_1k,yoy_ports_per_100k,rank_ev_per_1k,quartile_ev_per_1k,rank_ports_per_100k,quartile_ports_per_100k,share_ev_national,share_ports_national
British Columbia,BC,2019,Actual,4335382,78.19,16964.0,3.912919322910876,,,16964.0,3.912919322910876,1296,261,29.893559552537702,6.020230743219398,0.2013888888888889,1.955706138603577,15.312062625470586,1.0,4.0,2.0,4.0,0.3112774780725898,0.16305988928032208
British Columbia,BC,2020,Actual,4393667,77.64,15185.0,3.45611080675891,,,15185.0,3.45611080675891,1640,351,37.32645191362932,7.98877111078286,0.2140243902439024,-0.4568085161519657,7.432892361091618,2.0,4.0,2.0,4.0,0.28725738715901783,0.1674665577453283
British Columbia,BC,2021,Actual,4441202,77.08,23866.0,5.373770434220286,,,23866.0,5.373770434220286,2509,663,56.4937149897708,14.928391007659638,0.2642487046632124,1.9176596274613757,19.16726307614148,1.0,4.0,3.0,4.0,0.28692683161412874,0.1920545009185548
British Columbia,BC,2022,Actual,4563465,76.9,29587.0,6.483450623594133,,,29587.0,6.483450623594133,3643,931,79.82969081607945,20.401164466036224,0.2555586055448806,1.1096801893738473,23.335975826308648,1.0,4.0,3.0,4.0,0.250643827725255,0.20205213533000554
British Columbia,BC,2023,Actual,4713595,76.86,43448.0,9.21759294126882,,,43448.0,9.21759294126882,5084,1314,107.85822710691096,27.87681164800964,0.2584579071597168,2.734142317674686,28.02853629083151,2.0,4.0,3.0,4.0,0.24075982755372322,0.2012827618972207
British Columbia,BC,2024,Actual,4863298,76.78,45566.0,9.36936210777131,,,45566.0,9.36936210777131,6605,1829,135.81318685385924,37.60822388428593,0.2769114307342922,0.15176916650249161,27.954959746948276,2.0,4.0,3.0,4.0,0.17473300738184258,0.20414155462834183
British Columbia,BC,2025,growth_+20%_ports_+2pp_fast,4863298,76.78,,,61685.0,12.68,61685.0,12.68,6605,1829,135.81318685385924,37.60822388428593,0.2769114307342922,,,,,,,,
British Columbia,BC,2025,hold_2024_levels,4863298,76.78,,,54099.0,11.12,54099.0,11.12,6605,1829,135.81318685385924,37.60822388428593,0.2769114307342922,,,,,,,,
Canada,CA,2017,Actual,30204075,,19262.0,0.6377285184201139,,,,,2107,206,6.9758799102439,0.6820271767965084,0.09776934029425721,,,,,,,,
Canada,CA,2018,Actual,30657856,,43327.0,1.413242987376547,,,,,3131,277,10.212716766625821,0.9035204549202658,0.08847013733631422,,,,,,,,
Canada,CA,2019,Actual,31138037,,54498.0,1.7502066684550475,,,,,7948,1377,25.525051563141247,4.422244086870345,0.17325113236034223,,,,,,,,
Canada,CA,2020,Actual,31502935,,52862.0,1.6780023829525725,,,,,9793,2001,31.085992463876774,6.3517891269496,0.20432962320024503,,,,,,,,
Canada,CA,2021,Actual,31715782,,83178.0,2.622605994706358,,,,,13064,2759,41.19084940109627,8.699139122598332,0.21119105939987745,,,,,,,,
Canada,CA,2022,Actual,32375857,,118044.0,3.6460502033969324,,,,,18030,3629,55.68964552814772,11.208969696153526,0.201275651691625,,,,,,,,
Canada,CA,2023,Actual,33397559,,180462.0,5.403448796961478,,,,,25258,4861,75.62828169567723,14.55495594752898,0.19245387599968328,,,,,,,,
Canada,CA,2024,Actual,34521822,,260775.0,7.553917635054141,,,,,32355,6304,93.72332665407984,18.260913343449833,0.19483851027661875,,,,,,,,
Canada,CA,2025,growth_+20%_ports_+2pp_fast,34521822,,,,615022.0,,,,32355,6304,93.72332665407984,18.260913343449833,0.19483851027661875,,,,,,,,
Canada,CA,2025,hold_2024_levels,34521822,,,,495992.0,,,,32355,6304,93.72332665407984,18.260913343449833,0.19483851027661875,,,,,,,,
Manitoba,MB,2017,Actual,1066162,81.04,54.0,0.0506489632907569,,,54.0,0.0506489632907569,23,0,2.157270658680388,0.0,0.0,,,4.0,3.0,9.0,2.0,0.002803447201744367,0.010915994304698624
Manitoba,MB,2018,Actual,1081098,80.75,159.0,0.1470726983122714,,,159.0,0.1470726983122714,23,0,2.1274667051460643,0.0,0.0,0.0964237350215145,-0.029803953534323746,4.0,3.0,10.0,1.0,0.0036697671198098183,0.007345895879910571
Manitoba,MB,2019,Actual,1095650,80.35,287.0,0.2619449641765162,,,287.0,0.2619449641765162,40,4,3.650800894446219,0.3650800894446219,0.1,0.11487226586424479,1.5233341893001549,6.0,2.0,11.0,1.0,0.005266248302690007,0.0050327126321087065
